Scan,Fold_Change,log2FC
83861,4.64E-05,-14.396
91609,5.01E-05,-14.285
84984,9.21E-05,-13.406
101198,9.63E-05,-13.343
98788,8149.1,12.992
102377,0.00015827,-12.625
111905,5749.6,12.489
83468,0.00018445,-12.404
107869,4838.8,12.24
120224,4259.2,12.056
102335,0.00026471,-11.883
102325,0.00030178,-11.694
124003,3059.4,11.579
90402,0.00033386,-11.548
111906,2933.2,11.518
85675,0.00035741,-11.45
90401,0.00038308,-11.35
122895,2467.4,11.269
107803,1909.9,10.899
90407,0.00054366,-10.845
83470,0.00069938,-10.482
91801,0.00078494,-10.315
102322,0.00080799,-10.273
106150,1229.4,10.264
116517,1214,10.246
122916,1196.6,10.225
124032,1177.3,10.201
91767,0.00087814,-10.153
102321,0.0008973,-10.122
112711,1094.6,10.096
98922,1070,10.063
84989,0.00095813,-10.027
93640,0.00096431,-10.018
84934,0.0010067,-9.9562
106263,987.24,9.9473
116209,977.97,9.9336
91604,0.0010547,-9.889
104662,932.91,9.8656
112727,930.06,9.8612
111911,919.64,9.8449
91618,0.0011249,-9.7959
83832,0.0012016,-9.7008
91883,0.0012499,-9.644
83461,0.0012662,-9.6253
112821,774.1,9.5964
84990,0.0013487,-9.5342
122848,725.22,9.5023
104703,723.7,9.4992
124390,719.48,9.4908
84967,0.0013992,-9.4812
91697,0.001479,-9.4011
83582,0.0015046,-9.3764
91880,0.0015055,-9.3756
106229,651.8,9.3483
98800,645.44,9.3341
107877,630.93,9.3013
94131,0.0015983,-9.2893
116512,623.63,9.2845
85040,0.0016511,-9.2424
122846,590.9,9.2068
108490,588.86,9.2018
97584,586.42,9.1958
101193,0.0017305,-9.1746
91754,0.0017697,-9.1423
86114,0.0017754,-9.1377
91791,0.0017753,-9.1377
91758,0.0017798,-9.1341
83333,0.0017815,-9.1327
115873,550.87,9.1056
91247,0.0019434,-9.0072
101189,0.0019656,-8.9908
102772,0.0019736,-8.9849
91737,0.002011,-8.9579
123185,493.73,8.9476
91766,0.0020687,-8.9171
84912,0.0020978,-8.8969
106230,451.11,8.8173
94166,448.89,8.8102
104079,447.13,8.8045
114989,414.92,8.6967
90512,410.41,8.6809
120343,405.08,8.6621
83749,0.0024947,-8.6469
91267,0.0025135,-8.6361
92746,0.0025163,-8.6345
85005,0.0025197,-8.6325
91752,0.0025441,-8.6186
93854,389.26,8.6046
111178,387.89,8.5995
121692,385.6,8.591
101403,0.00261,-8.5817
122869,383.12,8.5816
85306,0.0026658,-8.5512
122919,365.55,8.5139
112710,359.38,8.4894
125356,359.27,8.4889
92895,0.0028336,-8.4631
122865,342.75,8.421
102393,0.0029363,-8.4118
99032,0.0030496,-8.3572
107868,326.49,8.3509
80217,0.0031496,-8.3106
118586,315.28,8.3005
90514,308.66,8.2699
124016,307.48,8.2643
120269,302.19,8.2393
106765,296.81,8.2134
125479,295.53,8.2071
91605,0.0034607,-8.1747
102273,0.0034921,-8.1617
91710,0.0035293,-8.1464
122735,279.6,8.1272
122842,278.7,8.1226
98790,278.36,8.1208
107804,277.36,8.1156
110696,271.49,8.0848
83465,0.0037897,-8.0437
119493,263.33,8.0407
119524,259.83,8.0214
83462,0.0038514,-8.0204
88912,0.0038785,-8.0103
122870,254.38,7.9909
91467,0.0039543,-7.9824
127413,250.94,7.9712
88428,0.003985,-7.9712
90562,0.0040453,-7.9495
90400,0.004061,-7.944
91885,0.0042418,-7.8811
122938,233.13,7.865
112822,228.04,7.8331
122843,223.7,7.8054
93052,0.0045554,-7.7782
98847,0.0045755,-7.7718
102284,0.004578,-7.7711
94169,212.77,7.7331
86273,0.0047058,-7.7313
98786,211.4,7.7238
89493,211.29,7.7231
132188,210.75,7.7194
95564,0.004755,-7.7163
124870,210.06,7.7147
83466,0.0049139,-7.6689
100631,0.0049187,-7.6675
88306,0.0049341,-7.663
83319,199.21,7.6381
85122,0.0050381,-7.6329
112713,194.55,7.604
104299,192.69,7.5901
97832,192.53,7.589
85011,0.0052412,-7.5759
101197,0.0053148,-7.5558
100217,0.0054931,-7.5082
87831,0.0055022,-7.5058
88700,0.0055787,-7.4859
123571,177.97,7.4755
102274,0.005647,-7.4683
102307,0.0057519,-7.4417
93044,0.0058063,-7.4282
101573,171.22,7.4197
83560,0.0058577,-7.4154
107867,168.99,7.4008
93042,0.0059964,-7.3817
112715,165.25,7.3685
84768,0.0060567,-7.3673
115472,165,7.3663
82261,0.0062918,-7.3123
83464,0.0062983,-7.3108
100575,154.41,7.2706
126843,153.59,7.263
107718,153.34,7.2606
122838,151.09,7.2393
125639,149.55,7.2245
111961,148.26,7.212
92747,0.0067858,-7.2033
107878,146.91,7.1988
97806,0.0068353,-7.1928
97977,0.0068572,-7.1882
92537,0.0068807,-7.1832
119781,144.88,7.1788
110171,143.81,7.1681
112832,142.86,7.1585
91606,0.0070602,-7.1461
89486,141.23,7.1419
122732,141.08,7.1404
124965,141.06,7.1402
123942,140.76,7.1371
111962,140.55,7.1349
93184,140.43,7.1338
122932,140.27,7.1321
119809,140.21,7.1314
91886,0.0071525,-7.1273
117633,139.29,7.1219
97997,0.007257,-7.1064
92996,0.0073072,-7.0965
124360,135.94,7.0868
86223,0.0073605,-7.086
93673,0.0074311,-7.0722
84767,0.0074329,-7.0719
119677,134.34,7.0698
91882,0.0075728,-7.045
112820,129.15,7.0129
120218,128.37,7.0041
111959,127.63,6.9958
102331,0.0078806,-6.9875
109764,126.87,6.9872
125392,125.84,6.9754
117646,125.04,6.9663
84702,0.0080118,-6.9637
124337,122.32,6.9346
81093,0.0081869,-6.9325
95344,0.0083073,-6.9114
122931,119.76,6.9041
98556,118.9,6.8936
79565,0.0084709,-6.8833
126000,117.7,6.879
94949,116.84,6.8684
106260,116.69,6.8665
93670,0.0085851,-6.8639
85714,0.008671,-6.8496
115418,114.87,6.8439
98796,113.03,6.8205
101946,112.78,6.8174
104715,110.57,6.7888
91603,0.0092133,-6.7621
91260,108.18,6.7573
107555,107.88,6.7533
100639,106.93,6.7406
86706,0.0097171,-6.6853
109899,101.43,6.6643
125396,99.608,6.6382
90842,99.365,6.6347
118380,99.238,6.6328
80226,0.010431,-6.583
98799,95.695,6.5804
104745,95.669,6.58
86219,0.010489,-6.5749
85512,94.033,6.5551
122917,93.586,6.5482
89644,0.011114,-6.4914
90627,89.769,6.4881
105923,89.053,6.4766
82725,0.011341,-6.4623
92274,87.164,6.4457
101274,0.011589,-6.4311
91970,0.011609,-6.4286
100615,85.651,6.4204
88061,0.011714,-6.4156
85602,0.011722,-6.4146
98551,84.807,6.4061
88842,0.011934,-6.3888
103053,83.241,6.3792
98141,83.129,6.3773
111670,82.442,6.3653
102339,0.012241,-6.3521
102328,0.012338,-6.3407
86368,0.012546,-6.3166
108617,79.118,6.3059
103854,78.634,6.2971
99861,78.42,6.2931
92944,0.012881,-6.2786
119633,77.503,6.2762
85314,0.013027,-6.2624
87424,0.013051,-6.2597
101475,0.013091,-6.2553
96734,0.01315,-6.2488
87003,0.013163,-6.2474
92864,0.013208,-6.2424
86863,0.013317,-6.2306
83082,0.013364,-6.2255
88971,0.013457,-6.2155
107735,74.291,6.2151
124040,74.127,6.2119
107564,73.304,6.1958
93652,0.013659,-6.194
98985,0.013697,-6.19
91008,0.01373,-6.1866
101277,0.014065,-6.1518
124389,70.823,6.1462
92951,0.014156,-6.1424
125544,70.149,6.1324
106265,69.113,6.1109
86894,68.131,6.0902
85439,0.014683,-6.0897
97244,0.014986,-6.0602
125044,66.482,6.0549
112823,66.004,6.0445
98906,66.002,6.0444
93595,0.015369,-6.0238
89636,64.385,6.0086
85693,0.015568,-6.0053
104776,63.876,5.9972
83076,0.015665,-5.9963
112492,63.601,5.991
88933,0.015766,-5.987
93696,63.167,5.9811
95037,0.016301,-5.9389
117981,61.296,5.9377
100276,59.844,5.9031
98279,59.332,5.8907
96668,0.016932,-5.8841
85624,0.017006,-5.8778
94320,0.017354,-5.8486
111828,57.503,5.8456
104476,57.458,5.8444
124039,57.256,5.8394
107150,56.776,5.8272
87595,0.017938,-5.8009
122748,55.471,5.7937
88698,0.018088,-5.7889
116008,54.757,5.775
87970,0.018302,-5.7719
93786,53.829,5.7503
83561,0.018582,-5.75
116836,53.492,5.7412
115629,52.547,5.7155
94335,0.019042,-5.7147
103934,51.764,5.6939
107705,51.648,5.6906
101947,51.411,5.684
103396,51.378,5.6831
107470,50.169,5.6487
94040,50.109,5.647
113867,49.874,5.6402
100890,49.811,5.6384
93048,0.020086,-5.6376
97032,0.020374,-5.6172
80085,0.020625,-5.5995
85742,0.020677,-5.5958
114048,48.29,5.5937
85604,0.020741,-5.5914
104660,48.177,5.5903
112709,48.051,5.5865
87830,0.020945,-5.5773
84922,0.021031,-5.5713
100928,47.534,5.5709
86362,0.021059,-5.5694
85502,0.021161,-5.5624
82318,0.021274,-5.5548
111732,46.785,5.548
101710,0.021667,-5.5283
86111,0.021705,-5.5258
80104,0.021887,-5.5138
94539,45.081,5.4944
103857,44.892,5.4884
100586,44.875,5.4878
104700,44.49,5.4754
108453,44.476,5.475
112524,44.418,5.4731
83123,44.069,5.4617
112499,0.022754,-5.4577
114942,43.886,5.4557
88308,0.022801,-5.4547
84976,0.022822,-5.4534
101187,0.02296,-5.4448
119773,43.059,5.4283
119847,43.033,5.4274
126058,42.972,5.4253
94854,42.904,5.423
91479,42.785,5.419
101381,0.023457,-5.4138
105102,42.297,5.4025
82744,0.023671,-5.4007
85623,0.023729,-5.3972
88772,0.023737,-5.3967
107796,42.121,5.3965
92828,0.023752,-5.3958
100339,0.023765,-5.395
101929,40.87,5.353
87456,0.024516,-5.3502
101911,0.024692,-5.3398
104701,39.8,5.3147
101549,0.025285,-5.3056
78103,0.025441,-5.2967
93867,0.025448,-5.2963
80315,0.025627,-5.2862
86628,0.025667,-5.2839
100930,38.623,5.2714
123828,38.593,5.2703
90413,0.026044,-5.2629
92709,0.026157,-5.2567
101404,0.026541,-5.2356
88929,0.026741,-5.2248
93049,0.02675,-5.2243
105425,37.153,5.2154
94915,0.026989,-5.2115
110423,36.731,5.1989
87752,36.594,5.1935
90773,0.027338,-5.193
88033,0.027341,-5.1928
97803,0.027356,-5.192
91055,0.027399,-5.1897
107961,36.496,5.1897
111970,36.407,5.1861
109069,36.189,5.1775
104312,35.956,5.1682
99288,0.027879,-5.1647
92045,0.02804,-5.1564
100579,35.574,5.1527
89770,0.028118,-5.1524
102320,0.028394,-5.1383
106646,35.213,5.138
112587,35.034,5.1307
105316,34.968,5.128
132432,0.028628,-5.1264
92932,0.028641,-5.1258
83467,0.029209,-5.0974
102883,0.029267,-5.0946
88587,0.029445,-5.0858
96665,0.029629,-5.0768
105142,33.587,5.0699
93791,0.029843,-5.0665
102338,0.030191,-5.0497
94506,33.071,5.0475
89898,32.944,5.0419
92617,32.756,5.0337
86751,0.030663,-5.0273
85503,0.03074,-5.0237
81530,32.517,5.0231
103879,32.482,5.0216
99324,0.031242,-5.0004
106752,31.941,4.9973
101437,0.031395,-4.9933
96883,0.031627,-4.9827
99314,31.569,4.9804
86357,0.031736,-4.9777
124020,30.596,4.9353
104542,30.529,4.9321
88588,0.03297,-4.9227
88393,0.033028,-4.9202
100866,29.722,4.8935
100476,0.033693,-4.8914
107706,29.608,4.8879
88826,0.033855,-4.8845
88514,0.033866,-4.884
86174,0.034065,-4.8756
109728,29.24,4.8699
123279,28.893,4.8527
101983,0.034702,-4.8488
123184,28.758,4.8459
101547,0.034785,-4.8454
103341,28.645,4.8402
80215,0.035037,-4.835
85263,0.03513,-4.8311
109395,28.376,4.8266
99215,0.035297,-4.8243
88696,0.035759,-4.8055
94334,0.035854,-4.8017
109877,27.841,4.7992
91800,0.03594,-4.7983
86115,0.036032,-4.7946
100509,0.036067,-4.7932
102611,0.036218,-4.7871
93625,0.036272,-4.785
99961,27.187,4.7648
104099,27.125,4.7615
106670,27.122,4.7614
91189,0.036888,-4.7607
124081,26.959,4.7527
116439,26.769,4.7425
99787,26.698,4.7387
87630,26.449,4.7252
99941,26.342,4.7193
102527,0.038672,-4.6926
112493,25.847,4.6919
94184,0.038742,-4.69
82776,0.038828,-4.6867
83015,0.038894,-4.6843
101659,25.501,4.6725
119780,25.441,4.6691
101240,24.904,4.6383
101869,24.601,4.6206
90856,24.538,4.6169
92536,0.041085,-4.6052
93194,24.122,4.5923
108960,23.963,4.5827
108678,23.775,4.5714
101714,0.042655,-4.5511
82364,0.042838,-4.545
86908,23.225,4.5376
124015,23.158,4.5335
83946,0.043346,-4.528
106536,23.066,4.5277
93632,22.933,4.5193
88573,22.553,4.4953
92307,22.432,4.4875
94048,22.362,4.483
88692,0.045544,-4.4566
96860,0.045761,-4.4498
131286,21.851,4.4496
104629,21.48,4.4249
119130,20.969,4.3902
101532,20.926,4.3872
85601,0.04828,-4.3724
116199,20.662,4.3689
93729,20.489,4.3568
106553,20.489,4.3568
90028,0.048867,-4.355
94450,0.049185,-4.3456
105408,20.221,4.3378
85881,0.050243,-4.3149
89506,0.050382,-4.3109
133988,19.823,4.3091
113046,19.66,4.2972
108276,18.676,4.2231
85745,0.054382,-4.2007
97160,0.054568,-4.1958
91511,0.054597,-4.195
86937,0.054816,-4.1893
98371,18.15,4.1819
85575,0.055745,-4.165
87192,17.825,4.1559
122749,17.82,4.1554
94463,0.056475,-4.1462
110261,0.056544,-4.1445
97080,0.056747,-4.1393
97243,0.05683,-4.1372
113186,17.561,4.1343
81575,17.56,4.1342
107831,17.51,4.1301
88305,0.057595,-4.1179
97780,17.318,4.1142
106231,17.22,4.106
103318,16.993,4.0869
102397,0.059306,-4.0757
93748,0.059577,-4.0691
106679,16.767,4.0676
81928,0.059833,-4.0629
113654,16.648,4.0573
116536,16.615,4.0544
125151,16.603,4.0534
100357,16.393,4.035
94836,16.382,4.034
112833,16.253,4.0226
92752,0.062556,-3.9987
98563,0.062582,-3.9981
121665,15.864,3.9876
100315,15.773,3.9794
101530,15.608,3.9642
112813,0.064946,-3.9446
90118,0.065254,-3.9378
90201,0.065742,-3.9271
95417,0.06582,-3.9253
85416,0.066024,-3.9209
115482,15.042,3.9109
85493,0.067013,-3.8994
98917,0.067588,-3.8871
97778,14.634,3.8712
99791,14.506,3.8586
94945,0.06971,-3.8425
91056,0.07097,-3.8166
86753,0.071435,-3.8072
76968,0.071594,-3.804
83637,0.072181,-3.7922
102287,13.666,3.7726
87043,0.073302,-3.77
104097,13.615,3.7672
100945,0.07441,-3.7484
111879,13.398,3.7439
112829,13.321,3.7357
82354,0.075526,-3.7269
131823,13.114,3.713
111825,13.023,3.703
87139,0.07685,-3.7018
96566,12.792,3.6772
104787,12.779,3.6756
106753,12.51,3.645
102886,0.081808,-3.6116
102453,12.209,3.6099
103906,12.153,3.6032
99708,11.976,3.5821
98937,0.084771,-3.5603
90430,11.735,3.5528
111826,11.566,3.5318
88031,0.08702,-3.5225
114674,11.421,3.5136
107461,11.353,3.505
97568,0.088111,-3.5045
120639,11.336,3.5028
98291,0.089479,-3.4823
94348,0.090481,-3.4662
106817,11.003,3.4598
111822,10.988,3.4579
88402,0.091547,-3.4493
111821,10.907,3.4472
111823,10.742,3.4252
112400,10.719,3.4221
94389,10.389,3.3769
100279,10.351,3.3717
112868,10.307,3.3655
101389,10.238,3.3558
95387,0.097786,-3.3542
81486,0.10009,-3.3207
103169,9.9716,3.3178
100356,9.9676,3.3172
93013,0.10175,-3.2968
98276,9.8179,3.2954
96381,0.10285,-3.2814
89193,0.10427,-3.2617
91041,9.5731,3.259
92116,0.10651,-3.231
122412,9.2758,3.2135
99332,0.10932,-3.1933
95693,9.1231,3.1895
106583,9.1197,3.189
103661,0.10992,-3.1854
88786,8.9709,3.1653
90188,0.11357,-3.1383
94204,0.11566,-3.1121
77258,0.11672,-3.0989
95576,0.11812,-3.0816
100719,0.12286,-3.0249
82366,0.12349,-3.0175
106755,8.0495,3.0089
107833,8.0264,3.0048
113264,7.9943,2.999
100104,0.12544,-2.995
97490,0.12875,-2.9573
111913,7.7172,2.9481
88850,0.12997,-2.9438
92354,7.5174,2.9102
120750,7.5174,2.9102
85677,0.13376,-2.9022
112750,7.4406,2.8954
94209,0.13649,-2.8732
109387,7.1274,2.8334
97124,6.9621,2.7995
100380,0.14926,-2.7441
84960,0.14939,-2.7429
100717,0.14941,-2.7427
100621,0.15183,-2.7195
108554,6.4801,2.696
81730,0.15622,-2.6783
102638,0.15752,-2.6664
112793,0.16021,-2.642
124037,6.2313,2.6395
100644,0.16111,-2.6339
106253,6.1245,2.6146
98923,5.9508,2.5731
100649,0.16844,-2.5697
120018,5.9172,2.5649
101877,5.8327,2.5442
89637,0.17376,-2.5248
99261,5.7326,2.5192
90443,5.667,2.5026
90065,0.17677,-2.5001
112743,5.6032,2.4863
92476,0.18024,-2.472
94616,5.4941,2.4579
99160,0.18236,-2.4551
100792,0.18448,-2.4385
85540,5.4077,2.435
101324,0.1853,-2.432
103642,5.3938,2.4313
119321,5.369,2.4247
100005,5.3457,2.4184
100676,0.18947,-2.4
100638,0.1952,-2.357
100570,5.1133,2.3543
112759,5.0722,2.3426
100711,0.19721,-2.3422
100828,0.19787,-2.3374
113312,4.9024,2.2935
110794,4.8157,2.2677
115479,4.7441,2.2461
102714,0.21117,-2.2435
90503,0.21319,-2.2298
102718,0.21326,-2.2293
83014,0.2153,-2.2156
113265,4.6375,2.2134
82322,0.21886,-2.1919
106801,4.5332,2.1805
95191,4.4928,2.1676
106725,0.22285,-2.1659
104029,0.22733,-2.1372
90060,0.231,-2.114
98029,4.3116,2.1082
114327,4.3114,2.1082
115149,4.2776,2.0968
113384,4.2745,2.0957
110973,0.24247,-2.0441
84377,4.0431,2.0154
110963,0.24742,-2.0149
102717,0.24912,-2.0051
86758,0.24962,-2.0022
85539,3.9903,1.9965
101150,0.25118,-1.9932
112453,3.9007,1.9637
102716,0.2577,-1.9562
100680,0.25882,-1.95
110961,0.25893,-1.9494
106081,3.8275,1.9364
108226,3.7978,1.9252
110996,0.26343,-1.9245
99604,3.7676,1.9137
93167,0.26988,-1.8896
106574,3.6281,1.8592
107246,3.6156,1.8542
107217,3.6103,1.8521
104030,0.2785,-1.8442
88030,0.29108,-1.7805
105518,0.29178,-1.777
87774,3.3799,1.757
107341,3.3682,1.752
99985,0.29895,-1.742
83279,0.30255,-1.7248
98375,0.30434,-1.7163
91536,3.2753,1.7116
99600,3.2712,1.7098
99659,3.2396,1.6958
97541,3.2346,1.6936
84935,0.30955,-1.6918
106884,0.31523,-1.6655
107701,3.1496,1.6551
103568,0.32519,-1.6207
95103,3.0645,1.6157
109665,3.0627,1.6148
99915,0.32676,-1.6137
92829,0.32927,-1.6026
104826,0.33146,-1.5931
127563,2.998,1.584
102615,0.34045,-1.5545
112223,2.9318,1.5518
108364,2.9051,1.5386
90680,2.8394,1.5056
104165,0.35625,-1.4891
91779,0.35721,-1.4852
108853,2.7686,1.4692
108353,2.7625,1.466
91170,0.36208,-1.4656
86409,0.36491,-1.4544
92853,0.36674,-1.4472
114407,2.7175,1.4423
90683,2.7014,1.4337
94709,0.37619,-1.4105
89396,0.377,-1.4074
101474,0.3778,-1.4043
119323,2.6335,1.397
102521,2.6328,1.3966
98472,0.3804,-1.3944
103790,0.38794,-1.3661
99492,2.5482,1.3495
93627,0.4031,-1.3108
98742,0.40483,-1.3046
108914,2.4596,1.2984
111810,0.41026,-1.2854
100785,2.4255,1.2783
111766,0.41321,-1.2751
111852,2.412,1.2703
83126,2.4116,1.27
99807,2.3729,1.2467
112734,0.42247,-1.2431
100755,0.42493,-1.2347
103788,0.42932,-1.2199
106724,0.42936,-1.2197
111387,2.3185,1.2132
111101,0.43762,-1.1923
100401,0.44304,-1.1745
106736,0.45393,-1.1395
110663,0.45653,-1.1312
95218,2.1683,1.1165
105190,2.1527,1.1061
111801,2.1392,1.0971
123688,2.1167,1.0818
93803,2.1103,1.0775
81115,0.47491,-1.0743
94422,0.47561,-1.0721
89991,2.0951,1.067
96368,2.0942,1.0664
109871,2.0847,1.0598
111754,0.48127,-1.0551
111816,0.48413,-1.0465
100108,0.48429,-1.0461
103106,0.48544,-1.0426
92217,0.48889,-1.0324
105033,0.49299,-1.0204
94394,0.49315,-1.0199
